[2026-05-26T05:06:49.387Z] SUCCESSFUL_LOGIN | IP=127.0.0.1
[2026-05-26T05:32:15.199Z] FAILED_LOGIN | IP=127.0.0.1
[2026-05-26T05:32:17.487Z] FAILED_LOGIN | IP=127.0.0.1
[2026-05-26T05:32:17.789Z] FAILED_LOGIN | IP=127.0.0.1
[2026-05-26T05:32:17.949Z] FAILED_LOGIN | IP=127.0.0.1
[2026-05-26T05:32:18.107Z] BRUTE_FORCE_DETECTED | IP=127.0.0.1
[2026-05-26T05:32:18.108Z] FAILED_LOGIN | IP=127.0.0.1
[2026-05-26T05:43:56.654Z] SUCCESSFUL_LOGIN | IP=127.0.0.1
[2026-05-26T05:44:32.495Z] FAILED_LOGIN | IP=127.0.0.1
[2026-05-26T05:44:33.351Z] FAILED_LOGIN | IP=127.0.0.1
[2026-05-26T05:44:33.759Z] FAILED_LOGIN | IP=127.0.0.1
[2026-05-26T05:44:33.951Z] FAILED_LOGIN | IP=127.0.0.1
[2026-05-26T05:44:34.103Z] BRUTE_FORCE_DETECTED | IP=127.0.0.1
[2026-05-26T05:44:34.105Z] FAILED_LOGIN | IP=127.0.0.1
[2026-05-26T05:50:56.697Z] SUCCESSFUL_LOGIN | IP=127.0.0.1
[2026-05-26T05:51:08.431Z] FAILED_LOGIN | IP=127.0.0.1
[2026-05-26T05:51:08.613Z] FAILED_LOGIN | IP=127.0.0.1
[2026-05-26T05:51:08.757Z] FAILED_LOGIN | IP=127.0.0.1
[2026-05-26T05:51:08.933Z] FAILED_LOGIN | IP=127.0.0.1
[2026-05-26T05:51:09.100Z] BRUTE_FORCE_DETECTED | IP=127.0.0.1
[2026-05-26T05:51:09.101Z] FAILED_LOGIN | IP=127.0.0.1
[2026-05-26T05:53:08.466Z] SUCCESSFUL_LOGIN | IP=127.0.0.1
[2026-05-26T05:53:22.430Z] FAILED_LOGIN | IP=127.0.0.1
[2026-05-26T05:53:23.140Z] FAILED_LOGIN | IP=127.0.0.1
[2026-05-26T05:53:23.302Z] FAILED_LOGIN | IP=127.0.0.1
[2026-05-26T05:53:23.477Z] FAILED_LOGIN | IP=127.0.0.1
[2026-05-26T05:53:23.611Z] BRUTE_FORCE_DETECTED | IP=127.0.0.1
[2026-05-26T05:53:23.613Z] FAILED_LOGIN | IP=127.0.0.1
